title_clean,first_sentence
thunder,boom
a fat cat,there was a fat cat that ate a gnat
a lot of love,i love you a little
flowers,flowers smell so good
silver fur,silver fur
falling leaves,falling leaves
doggie doggie,doggie doggie fetch this bone 
comecome,come
marley,marley is my cat
i saw a bird,i saw a bird today
blue,blue is like the sound water splashing at the pool
sweets,come with me
theres a bug on my rug,there's a bug on my rug
sword,the shining blade glimmers softly in the light
the rain cloud,i met a rain cloud
dog,i have a dog that is very short
chimera,never going out
comera,the everlasting flame
ddot duchess,d-dot the cat thiks she's queen
criger,a criger is a combination of a tiger and a crab
path,which path do i take
mscollins,ms
history is a mystery,history is a mystery
phoenix,what's that i see in the night
bus ride,on my bus my sister rushes to the front seat ''hi
a stork was on my head,when i awoke one morning
cold,when it is cold it is freezing
burping nates burp,burping nates burp can break a plate
me,my pink eyes
my family,my family drives me nuts
animals,animals are so sweet some are nice to meet
my purple monkey,my monkey is purple
a crazy cow,when i awoke one morning
honey,almost every afternoon
bffs,b
snake and me,br&gt;i am a snake
super fun,let's have some fun
dogs,dogs are one of my favorite animals
sping,beautiful
sping,beautiful
my special moth,when i awoke one morning
my hands,my best part is my hands
bananas bananas,almost all afternoon
joyful laughaf,with sharp pointy claws
darth vader,darth vader
im me,my head is red
orcs,orcs are bad and smelly
grapes,on the outside you look like a cherry
i hate the rain,i hate the rain
spider on my head,when i awoke one morning
sydney and clara beth,sydney dramatic
dallin,dallin scary
bored,this is something very fun to do
all about me damari,my life is as cool as ice
am i really me,my grandpa says i've got my mommy's nose
teeth,i brush my teeth everyday to keep them shiny
one summer day,one summer day me mike went biking
ocean,ocean
november,naughty night nibbling noses
budge,i needed budge but i woulden't lunge
dogs,dogs are greatly loved
me,i have green hair
slam,i know a kid named sam
my brother is not the same as others,my brother is a little odd
phisical educationits important,p
the wolf,as the wolf stands there in the sun
cake,cakes are yummy in my tummy
because i am different,because i'm different
i love my dogs,my dogs are so much fun there so love abel
snow,drip drip drip
fuzz ball,dear fuzz ball
power shower,gives you strength anti bacterial waterfall
connect,connect with your family
messedup rhymes,i've read a cookbook
playing the trumpet,when i play
spaghetti,spaghetti
denny is a penny,denny is a penny
my legs,my legs are the best part of me
cooky carl,cooky carl kicked colorful cars cafully
i am,iam as fun as recess
the trout,one mornig i went out to take a look at a trout
dog frog,my dog saw a frog
dogsdogsdogs,pointy dogs luppy dogs stupid
a stork,one day a stork was on my head
upside inside out,monday morning i get up
the stinky sock,the stinky sock
the stork,when i awoke one morning
forest fire,oh no
in a car,if you're in a car
the flip,one time i did a flip
ribs,i like ribs and ribs ribs ribs ribs
my baby dragon is here,my baby dragon is finally here
spider,deep in the closet lives a spider
when i woke up,when i woke up i saw the birds playing
the world,the world is full of things
candy,i love candy
the colors,if i were green i would be a crazy
the bus,my bus is the weirdest place
my square,my square is very rare
dogs,i have three dogs
teddy bear,red and soft
my cat,my cat eats good food
rain fall,rain's softly falling
i m sick,i'm sick i'm sick its realy realy ick i ate a pill
bugs,five thousand bugs in the rug
my nneighbor,ihave a neighbor her name is flower
candy,roses are red
friends,friends are like money
candy sweet candy,roses are red
that collie,she is so very pretty
sky,sky sapphire
brianna,brianna is nice
the wind,the wind is cool as the ice
the flowers,when i look in the window all i see is every site
tigers,feirce
coffee,coffee is good
january,january is very scary you smell like berries
when i awoke,when i awoke one morning a crow was on my head
kristen blackberry,my name is kristen blackberry
i always eat rice with a spoon,almost every afternoon
stars,stars can be very bright
wind,wind is a breeze against your body
taylor the sailor,there once was a girl named 
i look pretty,mama's shiny purple coat
brown,brown looks like
the hickory tree,the hickory tree has a hive with one
becoming friends,when i woke one morning
tsunami,splash
 louder than a clap of thunder,louder than a clap of thunder
mama mama can you see,mama mama can you see
my patch,i had a patch of sniglie catchers
food on monday and tuesday,almost every afternoon i eat jellybeans on a spoon
sky,when i awoke one morning
stranger than a 100 ft turkey,stranger than a 100 ft
the weird dog,there is a dog it look like a hog
the duck,i saw a duck
the duck 2,hi im a duck
from my fathers hands,my fathers hands are bigger than i am
sacked,the player has been sacked
darren,darren likes basketball
i like hats,i like hats
dashaquas beauitful poem,rose are red violets are blue you make me bluss to
pickle pepper,pickle pepper pick me to
i need to relax,sometimes i just need to relax
stand up n footballl,i lye there in the dirt it hurts 
the tree,the tree blooms very pretty
sports,sports
the magic land of squarys,when i awoke one morning
sping,hot sunny sweeting hard run fast to play spring
spring,hot sunny sweating hard run fast to play spring
crook,one day while i was reading a book
baseball baseball,baseball in the air
fruity juice,juice
fruity juice,juice
wonderful books,shhhh
i love my hands,i love my hands because i can watch tv
may,every day i sit by the bay and eat some hay
my shoes,roses are red
shark,when i awoke one morning
football,boy
ugly tails,tails are big
star wars,jedi and sith engaged in battle
the kid who only hit homers,baseball sporty and tall throwing
the baseball game,i know the pitcher throws the ball
hannahs bananas,almost every morning right at nine
the styrofoam cup,i was drinking from a styrofoam cup
the brodway fish,when i awoke one morning
the stork,as i awoke one morning
hawaii,surfing
the parrot,i am a parrot big and tall i like the way i sound
going bannanas,one day i woke up with a monkey on my head
my friend,my friend is playful she loves in the pool
baseball,i found a baseball which was just for me
the three things,leaves
the old man,the old man had a tan when he ran his name was dan
mountains,mountain are gray
my hands are pink,my hands are pink
dont be my friend,dont be my friend
mybe,may you bee ears
tinkerbell,there once was a fairy named tinkerbell
french fries,almost every day at noon
when i awoke one morning,when i woke up one morning a stork was on my head
muffins,sweet
my helpful hands,i love my hands
andy and her middle names,there once was this girl named andy
the henny,my mother gave me a penny
my mom,my mom is fun she takes us to the park 
silly billy,silly billy wanted to play with willie
my carrots,almost every afternoon
stars,a thousand stars are in the night
morning jostle,when i awoke one morning
jag,jag is a my mom`s cat
the halloween noises,one halloween night the moon was bright as a star
bananas,every afternoon i eat bananas with a spoon 
my dog,my dog is fast
why why why,why
the lift,we're going up the lift
that bad old cat,that bad old cat
i dont want to go,i don't want to go
oh no im late for school today,my gosh
sibblings,sibblings are such snotty creatures
moms,moms are always loving
blue,blue
i am,i am a horse
stuff stuff,monkeys
nature,natuer is abeautiful thing
spring,sleep play ride internet no homework go have fun
christmas time poem,buying
caroline bonetti feretti,caroline bonetti feretti had spagetti
the tiger,my tiger can swim in the sea
sky,the sky
the lunchroom,in my school there is a lunchroom
snores,louder than a clap of thunder
i spy castle,i spy a key
the mad dog,he went to check on the cows
the ant,one day on a sidewalk i saw a ant
the hairy man,once upon a time there was a boy called max
hamsters,hamsters are so soft and cuddly
the last melon,] the last melon
dolphin,gray as a cloud and white as the snow
shorttttttttttttttttttttttttttttttttttttttttt,i am short in the fort
dead space,when you are in dead space you have to survive
oranges,oranges are so sweet
derrick the amazing,taylor is a girl she is beautiful like a pearl
gus,there was a dog named gus
the noise in the woods,there was a noise in the woods
the sound in the woods,in the woods i heard a sound
chair,the chair layed in the air
tutor,my tutor is annoying 
i woke up this morning,i woke up this morning with slobber to my face
true friends,true friends are like glue they stick with you
happy days,happy days
football,football
sweet treats,do you love sweet treats ? i do 
